index,,input_horizontal,input_vertical,step,Execution_time,Throughout,number_of_layers,FLOPs_G,Total_params_M,Memory_M,total_num_of_neurons_M
,synthetic,354,354,3,17.9251194000244,5.57876339723928,16,2.48,16.05,43.156484,10.914436
,synthetic,354,354,4,16.7206692695618,5.98062185118628,16,2.52,12.98,45.220244,11.430376
,synthetic,388,388,1,20.3743147850037,4.9081405217909,16,2.72,20.88,47.404116,12.001572
,synthetic,388,388,2,18.1707048416138,5.50336384150516,16,2.31,15.07,42.157156,10.689832
,synthetic,388,388,3,16.9587111473084,5.89667452504914,16,2.67,12.48,49.484876,12.521762
,synthetic,388,388,4,14.2263627052307,7.02920360404085,16,2.25,9.14,39.846796,10.112242
,synthetic,422,422,1,17.9916334152222,5.55813903563604,16,2.25,12.69,48.972396,12.421182
,synthetic,422,422,2,19.3172144889832,5.17672980527453,16,2.21,21.79,45.890748,11.65077
,vgg19,46,46,1,8.73594999313355,11.4469519718634,26,0.88,19.32,2.109708,0.529542
,vgg19,46,46,2,9.37347888946533,10.668397633283,26,0.78,21.2,1.987572,0.499008
,vgg19,46,46,3,9.0709114074707,11.0242505419732,26,0.92,19.91,2.17846,0.54673
,vgg19,46,46,4,9.46927309036255,10.5604727042645,26,1.1,20.43,2.210012,0.554618
,vgg19,78,78,1,18.0857849121094,5.52920431631611,26,3.41,29.95,6.853388,1.71943
,vgg19,78,78,2,14.860463142395,6.72926536957739,26,2.92,23.36,5.738388,1.44068
,vgg19,78,78,3,13.7735247612,7.26030567583544,26,2.84,21.18,6.412812,1.609286
,vgg19,78,78,4,15.416247844696,6.48666270855297,26,2.92,25.67,5.393884,1.354554
,vgg19,110,110,1,22.6859474182129,4.40801515389731,26,6.57,25.23,11.923868,2.993066
,vgg19,110,110,2,23.0397891998291,4.34031748870088,26,6.41,27.86,11.664668,2.928266
,vgg19,110,110,3,21.3681292533875,4.67986686219371,26,5.62,28.05,11.968876,3.004318
,vgg19,110,110,4,28.3857417106628,3.52289543881941,26,7.09,37.33,12.778212,3.206652
,vgg19,142,142,2,35.1850128173828,1.42105959317139,26,10.3,30.85,19.868156,4.987202
,vgg19,142,142,4,40.1543378829956,1.24519547914582,26,11.64,32.99,23.516188,5.89921
,vgg19,174,174,3,46.6295099258423,1.07228233964968,26,13.46,36.37,27.327636,6.862184
,vgg19,174,174,4,55.0024890899658,0.909049768969848,26,16.35,35.33,34.269268,8.597592
