index,model_name,input_horizontal,input_vertical,step,Execution_time,number_of_layers,FLOPs_G,Total_params_M,Memory_M,total_num_of_neurons_M
200,vgg16,32,32,10,6.33569717407227,23,0.43,13.88,1.063388,0.26687
201,vgg16,64,64,1,8.37906360626221,23,1.72,16.54,3.414252,0.857658
202,vgg16,64,64,2,7.49348163604736,23,1.46,14.48,3.711596,0.931994
203,vgg16,64,64,3,9.68908786773682,23,1.9,16.9,4.544492,1.140218
204,vgg16,64,64,4,10.5764055252075,23,1.94,19.42,4.434476,1.112714
205,vgg16,64,64,5,9.90619659423828,23,2.06,18.5,4.280236,1.074154
206,vgg16,64,64,6,8.92096519470215,23,1.73,16.08,4.181292,1.049418
207,vgg16,64,64,7,7.59719371795654,23,1.5,13.78,4.118764,1.033786
208,vgg16,64,64,8,9.22556877136231,23,1.57,18.11,4.11358,1.03249
209,vgg16,64,64,9,8.0949592590332,23,1.31,16.28,3.65246,0.91721
210,vgg16,64,64,10,7.35952377319336,23,1.59,12.04,3.9539,0.99257
211,vgg16,96,96,1,12.7072715759277,23,3.7,13.92,8.92078,2.23941
212,vgg16,96,96,2,14.7393989562988,23,3.64,19.12,9.352124,2.347246
213,vgg16,96,96,3,15.6472778320313,23,4.41,16.89,10.161852,2.549678
214,vgg16,96,96,4,14.8015737533569,23,4.08,15.68,9.78166,2.45463
215,vgg16,96,96,5,18.0419540405273,23,4.68,23.43,9.83222,2.46727
216,vgg16,96,96,6,15.9229183197021,23,4.46,18.45,9.033644,2.267626
217,vgg16,96,96,7,11.8165731430054,23,3.51,11.95,8.446428,2.120822
218,vgg16,96,96,8,15.2154636383057,23,3.96,19.31,9.0823,2.27979
219,vgg16,96,96,9,14.4581127166748,23,4.03,15.81,9.8931,2.48249
220,vgg16,96,96,10,11.6338443756104,23,2.69,16.67,7.048172,1.771258
221,vgg16,128,128,1,20.6430673599243,23,7.13,17.86,15.772972,3.959626
222,vgg16,128,128,2,18.1301689147949,23,6.3,15.33,14.905516,3.742762
223,vgg16,128,128,3,26.1417388916016,23,8.17,24.3,18.100268,4.54145
224,vgg16,128,128,4,24.8565053939819,23,8.13,24.11,17.104044,4.292394
225,vgg16,128,128,5,19.1646862030029,23,5.54,21.85,12.557484,3.155754
226,vgg16,128,128,6,18.6234712600708,23,5.96,18.36,15.428652,3.873546
227,vgg16,128,128,7,21.0653829574585,23,6.55,21.93,15.666348,3.93297
228,vgg16,128,128,8,19.6086359024048,23,7.03,15.37,17.42046,4.371498
229,vgg16,128,128,9,23.7615203857422,23,8.17,19.81,18.064556,4.532522
230,vgg16,128,128,10,22.433876991272,23,6.85,22.96,15.53246,3.899498
231,vgg16,160,160,1,35.0058221817017,23,11.37,20.48,25.327932,6.357582
232,vgg16,160,160,2,35.4433441162109,23,10.19,27.3,25.293692,6.349022
233,vgg16,160,160,3,31.2679290771484,23,8.97,26.73,18.95294,4.763834
234,vgg16,160,160,4,29.9091672897339,23,8.63,23.23,22.23622,5.584654
235,vgg16,160,160,5,37.7495145797729,23,12.18,21.89,26.432108,6.633626
236,vgg16,160,160,6,37.2475385665894,23,11.47,26.06,26.72166,6.706014
237,vgg16,160,160,7,40.7197141647339,23,12.35,31.82,27.760844,6.96581
238,vgg16,160,160,8,36.5802383422852,23,11.04,25.18,25.941948,6.511086
239,vgg16,160,160,9,41.9230556488037,23,12.79,28.35,27.138604,6.81025
240,vgg16,160,160,10,35.7058668136597,23,10.63,28.55,23.37254,5.868734
241,vgg16,176,176,1,48.0910778045654,23,15.14,26.98,33.771108,8.473752
242,vgg16,176,176,2,47.7003049850464,23,14.14,35.55,32.51698,8.16022
243,vgg16,176,176,3,40.5653762817383,23,13.64,22.81,24.704324,6.207056
244,vgg16,176,176,4,40.2989387512207,23,11.77,29.3,29.177052,7.325238
245,vgg16,176,176,5,37.3536062240601,23,11.8,23.85,31.395644,7.879886
246,vgg16,176,176,6,35.1414585113525,23,12,19.21,26.089092,6.553248
247,vgg16,176,176,7,40.4030179977417,23,13.95,19.46,31.39654,7.88011
248,vgg16,176,176,8,41.385555267334,23,13.65,23.28,31.260852,7.846188
249,vgg16,176,176,9,47.1950626373291,23,15.6,27.14,34.4027,8.63165
250,vgg16,176,176,10,39.3020915985107,23,12.07,27.2,32.03846,8.04059
251,vgg16,192,192,1,48.8459014892578,23,16.69,32.24,35.511276,8.914682
252,vgg16,192,192,2,50.0672483444214,23,16.41,31.3,35.469612,8.904266
253,vgg16,192,192,3,46.0331058502197,23,16.4,22.46,36.289772,9.109306
254,vgg16,192,192,4,53.4402370452881,23,18.76,29.05,39.851628,9.99977
255,vgg16,192,192,5,48.940315246582,23,17.95,22.68,36.831596,9.244762
256,vgg16,192,192,6,33.1740045547485,23,8.33,32.18,28.277356,7.106202
257,vgg16,192,192,7,51.9249963760376,23,17.59,32.18,40.162028,10.07737
258,vgg16,192,192,8,54.3562889099121,23,19.25,21.18,41.598892,10.436586
259,vgg16,192,192,9,45.0661706924439,23,14.42,32.99,31.157996,7.826362
260,vgg16,192,192,10,42.7620363235474,23,13.12,28.32,37.932076,9.519882
261,vgg16,208,208,1,62.9079866409302,23,20.32,34.17,46.203068,11.59403
262,vgg16,208,208,2,48.1167221069336,23,13.5,37.8,36.548652,9.180426
263,vgg16,208,208,3,56.5132141113281,23,17.04,37.35,39.262764,9.858954
264,vgg16,208,208,4,48.0936098098755,23,15.11,25.31,41.682972,10.464006
265,vgg16,208,208,5,63.4359264373779,23,21,31.16,40.56026,10.183328
266,vgg16,208,208,6,57.2346925735474,23,18.94,27.19,45.86918,11.510558
267,vgg16,208,208,7,53.7273931503296,23,15.95,32.19,36.01318,9.046558
268,vgg16,208,208,8,56.8406629562378,23,18.84,25.59,41.742276,10.478832
269,vgg16,208,208,9,66.0411024093628,23,20.95,31.58,47.379508,11.88814
270,vgg16,208,208,10,47.2983694076538,23,14.9,22.97,38.451828,9.65622
271,vgg16,224,224,1,56.6138744354248,23,16.6,41.81,42.267116,10.616954
272,vgg16,224,224,2,66.7392158508301,23,22.39,30.59,50.125772,12.581618
273,vgg16,224,224,3,59.1863822937012,23,18.44,38.66,49.840524,12.510306
274,vgg16,224,224,4,81.2713432312012,23,25.41,54.45,55.706108,13.976702
275,vgg16,224,224,5,69.2354774475098,23,23.76,34.83,51.352524,12.888306
276,vgg16,224,224,6,71.0651445388794,23,23.29,41.23,52.259724,13.115106
277,vgg16,224,224,7,69.3092441558838,23,21.29,44.96,47.862108,12.015702
278,vgg16,224,224,8,70.8928728103638,23,25.57,23.21,55.289084,13.872446
279,vgg16,224,224,9,58.2254838943481,23,18.88,30.54,51.126412,12.831778
280,vgg16,224,224,10,57.3908710479736,23,17.39,42.83,48.146028,12.086682
281,vgg16,240,240,1,74.0764427185059,23,25.86,32.04,62.401084,15.65787
282,vgg16,240,240,2,70.578761100769,23,24.36,29.98,59.22426,14.863664
283,vgg16,240,240,3,79.5223999023438,23,28.15,24.71,62.778908,15.752326
284,vgg16,240,240,4,105.787434577942,23,19.89,26.12,49.122172,12.338142
285,vgg16,240,240,5,75.0174474716187,23,21.23,19.26,54.846196,13.769148
286,vgg16,240,240,6,77.4117565155029,23,26.59,36.95,57.077484,14.32697
287,vgg16,240,240,7,70.9227418899536,23,24.84,28.73,56.640916,14.217828
288,vgg16,240,240,8,77.5388526916504,23,24.68,42.27,55.806644,14.00926
289,vgg16,240,240,9,64.2589712142944,23,20.95,32.84,57.280684,14.37777
290,vgg16,240,240,10,59.8322820663452,23,17.56,46.35,44.965796,11.299048
291,vgg16,256,256,1,78.1841135025024,23,28.13,24.51,69.6867,17.48721
292,vgg16,256,256,2,80.5275201797485,23,29.3,29.32,63.41214,15.91857
293,vgg16,256,256,3,82.5208902359009,23,26.26,53.18,61.76158,15.50593
294,vgg16,256,256,4,86.5447330474854,23,30.42,32.34,71.226284,17.872106
295,vgg16,256,256,5,82.0820188522339,23,29.51,35.33,65.033772,16.323978
296,vgg16,256,256,6,82.8491115570068,23,28.75,38.22,70.267308,17.632362
297,vgg16,256,256,7,84.695405960083,23,28.12,42.75,70.19294,17.61377
298,vgg16,256,256,8,88.189868927002,23,33.65,29,67.663532,16.981418
299,vgg16,256,256,9,94.5234107971191,23,30.21,61.08,64.280876,16.135754
300,vgg16,256,256,10,83.5963726043701,23,28.9,47.23,59.380012,14.910538
301,vgg19,32,32,1,9.14216041564941,26,0.65,21.76,1.241852,0.311486
302,vgg19,32,32,2,8.20133686065674,26,0.5,20.11,0.944028,0.23703
303,vgg19,32,32,3,6.87870979309082,26,0.45,16.79,0.95646,0.240138
304,vgg19,32,32,4,9.53209400177002,26,0.69,23.17,1.201276,0.301342
305,vgg19,32,32,5,11.0466122627258,26,0.65,27.39,1.129084,0.283294
306,vgg19,32,32,6,8.487868309021,26,0.55,20.85,1.052028,0.26403
307,vgg19,32,32,7,9.1026782989502,26,0.67,22.11,1.094396,0.274622
308,vgg19,32,32,8,9.31642055511475,26,0.61,22.84,1.073564,0.269414
309,vgg19,32,32,9,8.52224826812744,26,0.65,20.88,1.177468,0.29539
310,vgg19,32,32,10,8.21690559387207,26,0.55,20.17,1.007996,0.253022
311,vgg19,64,64,1,12.267804145813,26,2.87,23.96,4.589292,1.151418
312,vgg19,64,64,2,12.0066165924072,26,2.58,24.01,4.099628,1.029002
313,vgg19,64,64,3,13.2476806640625,26,2.6,26.39,4.273644,1.072506
314,vgg19,64,64,4,9.16538238525391,26,1.73,18.77,3.985132,1.000378
315,vgg19,64,64,5,14.5136475563049,26,2.75,29.55,4.93502,1.23785
316,vgg19,64,64,6,14.7119879722595,26,2.64,31.54,4.329068,1.086362
317,vgg19,64,64,7,12.8653049468994,26,2.56,25.43,4.856044,1.218106
318,vgg19,64,64,8,13.779079914093,26,2.63,27.52,4.780524,1.199226
319,vgg19,64,64,9,9.49078798294067,26,1.87,19.29,4.274924,1.072826
320,vgg19,64,64,10,11.9360446929932,26,2.09,26.05,3.809004,0.956346
321,vgg19,96,96,1,22.3215341567993,26,6.34,26.7,11.25974,2.82415
322,vgg19,96,96,2,21.5288043022156,26,5.83,29.25,10.089212,2.531518
323,vgg19,96,96,3,21.5691804885864,26,5.61,30.78,9.74374,2.44515
324,vgg19,96,96,4,21.3146090507507,26,5.6,28.69,9.945564,2.495606
325,vgg19,96,96,5,21.2482571601868,26,5.76,28.18,9.659292,2.424038
326,vgg19,96,96,6,24.2889761924744,26,6.03,34.18,10.866716,2.725894
327,vgg19,96,96,7,19.7710275650024,26,5.53,24.72,10.577532,2.653598
328,vgg19,96,96,8,24.3947625160217,26,5.83,36.96,10.506236,2.635774
329,vgg19,96,96,9,21.2750673294067,26,4.81,33.98,8.659164,2.174006
330,vgg19,96,96,10,19.2646741867065,26,5.45,24.42,10.245788,2.570662
331,vgg19,128,128,1,38.6991262435913,26,10.87,50.52,19.667244,4.933194
332,vgg19,128,128,2,36.6156339645386,26,10.58,46.77,18.098604,4.541034
333,vgg19,128,128,3,27.9512643814087,26,7.67,40.47,14.049836,3.528842
334,vgg19,128,128,4,22.9671001434326,26,7.14,31.19,12.69854,3.191018
335,vgg19,128,128,5,32.3315620422363,26,8.9,43.84,16.780972,4.211626
